Nivel de Eleccion,Cargo,Provincia,Distrito,Organizacion politica,Link Logo Partido,Link Foto Candidato,Foto Adicional,Candidato,Edad,Estado
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,ACCION POPULAR,https://sipes.jne.gob.pe/documentos/logotipo/4.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/4,https://mpesije.jne.gob.pe/apidocs/1ec143eb-1fc3-46f0-b9f5-bd32c9367d9f.jpg,DANTE JOSE MANDRIOTTI CASTRO,79,ADMITIDO
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,COALICION TRANSFORMADORA TIERRA VERDE,https://sipes.jne.gob.pe/documentos/logotipo/2982.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2982,https://mpesije.jne.gob.pe/apidocs/486e7752-3bd8-47c0-9b5a-a741dd93ff88.jpg,RAFAEL SEBASTIAN YANCAN MAYO,57,IMPROCEDENTE
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,FRENTE POPULAR AGRICOLA FIA DEL PERU,https://sipes.jne.gob.pe/documentos/logotipo/2901.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2901,https://mpesije.jne.gob.pe/apidocs/15b3e845-be23-47d4-8b5b-fa6bb17b2dbb.jpg,CINTHYA ISELA CAMASCA ZAMUDIO,43,ADMITIDO
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,FUERZA POPULAR,https://sipes.jne.gob.pe/documentos/logotipo/1366.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/1366,https://mpesije.jne.gob.pe/apidocs/b84b3d99-1008-49c8-be6c-a6633902c039.jpg,MIGUEL FRANCISCO CORDANO RODRIGUEZ,80,INADMISIBLE
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,PARTIDO DEMOCRATICO SOMOS PERU,https://sipes.jne.gob.pe/documentos/logotipo/14.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/14,https://mpesije.jne.gob.pe/apidocs/57dee9c0-f943-48bf-a5ef-95437fe16cee.jpg,ISMAEL ALBERTO PAREDES AVALOS,74,ADMITIDO
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,PARTIDO POPULAR CRISTIANO - PPC,https://sipes.jne.gob.pe/documentos/logotipo/2943.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2943,https://mpesije.jne.gob.pe/apidocs/60ddad7e-ab31-40f2-8857-87a48f60a6db.jpg,JOSE REMIGIO SOSA DULANTO BADIOLA,67,ADMITIDO
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",https://sipes.jne.gob.pe/documentos/logotipo/2931.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/2931,https://mpesije.jne.gob.pe/apidocs/86740265-ae17-4fd8-bfc1-cf9e8c0ee0a1.jpg,LIZANDRA GLADYS ZUÑIGA BERMUDEZ,32,IMPROCEDENTE
REGIONAL,GOBERNADOR REGIONAL,SIN_PROVINCIA,SIN_DISTRITO,RENOVACION POPULAR PERU,https://sipes.jne.gob.pe/documentos/logotipo/3040.jpg,https://sroppublico.jne.gob.pe/Consulta/Simbolo/GetSimbolo/3040,https://mpesije.jne.gob.pe/apidocs/0a4869bf-07ea-4206-8ec7-ebaf6f6b0773.jpg,PEDRO CARMELO SPADARO PHILIPPS,49,ADMITIDO
